Tags,Article Content,Date posted,Author
Oxford University bans all funding from China's Huawei,"The University of Oxford has placed an indefinite ban on accepting research grants or donations from Chinese telecoms giant Huawei. Oxford said the ban was linked to ""public concerns raised in recent months surrounding UK partnerships with Huawei"". The decision came a day after reports said US authorities are investigating Huawei for allegedly stealing trade secrets from US business partners.",18 Jan,Arshiya Chopra
Gujarat is Reliance's janmabhoomi and karmabhoomi: Mukesh Ambani,"Speaking at the 9th Vibrant Gujarat summit, Reliance Industries Chairman Mukesh Ambani said that ""Gujarat is Reliance's janmabhoomi (birthplace) as well as its karmabhoomi (workplace)"". He committed to invest ₹3 lakh crore in various projects in the next 10 years in the state. Notably, Reliance Industries operates the world's largest oil refining complex at Jamnagar in Gujarat.",18 Jan,Gaurav Shroff
Said goodbye to film as I was offered less pay: Deepika,"Actress Deepika Padukone revealed that she turned down a film as its makers offered her less pay only to accommodate the fee of the male lead actor. ""[I] said ‘tata goodbye’ as I know my track record. I know my worth,"" the actress added. Deepika further said a woman's role in the film industry has evolved with time.",18 Jan,Gaurav Shroff
"Ranveer, Varun approached for Andaz Apna Apna reboot: Report","Ranveer Singh and Varun Dhawan were reportedly approached to star in the reboot of the 1994 film 'Andaz Apna Apna'. The film will not be a sequel or a remake of the original and will feature a different story, reports said. Shakti Kapoor's character 'Crime Master Gogo' will reportedly make a comeback and will be played by a ""contemporary actor"".",18 Jan,Gaurav Shroff
Nawazuddin's 'Photograph' to screen at Berlin film festival,"Nawazuddin Siddiqui and Sanya Malhotra starrer 'Photograph' will be screened at the Berlin International Film Festival that will take place from February 7-17. The film, which is scheduled to release on March 8, will also be premiered at the Sundance Film Festival which will be held from January 24 to February 3. The film has been directed by Ritesh Batra.  ",18 Jan,Gaurav Shroff
Saina beats Okuhara to enter Malaysia Masters semifinals,"India's Saina Nehwal registered a straight-game win over former world champion Nozomi Okuhara of Japan to enter the women's singles semifinals of the $350,000 Malaysia Masters in Kuala Lumpur on Friday. The 28-year-old, who had won the title in 2017, will next face three-time world champion and Rio 2016 gold-winner Carolina Marin of Spain on Saturday.",18 Jan,Pragya Swastik
Jofra Archer stopped from bowling after bowling second beamer,"Jofra Archer, who plays for Hobart Hurricanes in the Big Bash League, was stopped from bowling after he bowled two beamers above waist height while playing against Perth Scorchers on Friday. Archer was stopped from bowling after having bowled only ten deliveries in the match. Archer first bowled a slower ball full toss to Sam Whiteman in his first over.",18 Jan,Pragya Swastik
Sharapova eliminates Aus Open defending champion Wozniacki ,Russian tennis player Maria Sharapova eliminated Australian Open defending champion Caroline Wozniacki in the third round after registering a three-set win on Friday. Sharapova will next face world number 15 Australia's Ashleigh Barty. Wozniacki is the highest-ranked opponent Sharapova has beaten since her first-round victory over Simona Halep at the US Open in 2017. ,18 Jan,Arshiya Chopra
Google to buy $40 million worth of Fossil's smartwatch tech,"Technology giant Google has entered into an agreement with Fossil Group to buy its intellectual property (IP) related to a smartwatch technology currently under development for $40 million. ""As part of the transaction, a portion of Fossil Group’s research and development (R&D) team... will join Google,"" Fossil said. The transaction is expected to close this month, Fossil added.",18 Jan,Arshiya Chopra
"Tesla to recall 14,000 cars in China over faulty airbags","China's top market regulator has revealed Tesla will recall more than 14,000 Model S cars over faulty airbags made by Japan-based firm Takata. The move is part of an industry-wide recall of reportedly around 37 million vehicles containing the airbags. The defective airbags use a propellant that might rupture the airbag and cause serious injuries or even deaths. ",18 Jan,Pragya Swastik
Samara-Amazon acquisition of More retail chain gets CCI nod,"Competition Commission of India (CCI) has approved the acquisition of billionaire Kumar Mangalam Birla's supermarket chain 'More' by Amazon and private equity fund Samara Capital. CCI has done due diligence from an impact-on-competition perspective and Amazon and Samara will have to modify the deal, made last September for around ₹4,200 crore, to comply with revised FDI norms, as per reports.",18 Jan,Pragya Swastik
Pune-based digital lending startup LoanTap raises $8 million,"Pune-based digital lending platform LoanTap has raised $8 million (around ₹57 crore) in its fifth fundraising round led by Bengaluru-based early-stage venture capital fund 3one4 Capital. The round saw participation from existing investors ShunWei Capital, Kae Capital, India Quotient, Tuscan Ventures and angel investor Ashish Goenka. LoanTap was founded in 2016 by Vikas Kumar and Satyam Kumar.",18 Jan,Krishna Veera Vanamali
UP becomes 3rd state to approve 10% general category quota ,"Uttar Pradesh government on Friday approved 10% reservation in jobs and educational institutions for the economically weaker sections in general category. Gujarat and Jharkhand are the two other states to incorporate the additional quota. The Constitution (124th Amendment) Bill, 2019 was passed by the Parliament on January 9 and was approved by President Ram Nath Kovind on January 12. ",18 Jan,Krishna Veera Vanamali
Man claims spotting leopard at service lane in Greater Noida,"A man claimed that he saw a leopard near a drain on a service lane in Uttar Pradesh's Greater Noida on Wednesday night. Immediately after spotting the animal, the man clicked its picture, which was circulated on WhatsApp. Meanwhile, forest department officials conducted a search on Thursday morning but did not find any wild animal, a police official said.",18 Jan,Krishna Veera Vanamali
K'taka CM demands Bharat Ratna for 111-yr-old Shivakumara Swami,"Karnataka Chief Minister HD Kumaraswamy on Friday said the Central government should confer the Bharat Ratna on Siddaganga mutt's 111-year-old seer Shivakumara Swami. ""I had recommended Bharat Ratna for Swami in 2006 itself for his good work,"" Kumaraswamy said. ""If necessary, we will meet Prime Minister Narendra Modi to grant the award to Swami,"" he added.",18 Jan,Krishna Veera Vanamali
US lawmaker Tulsi Gabbard apologises for past anti-gay views,"US Representative Tulsi Gabbard has apologised for her past comments and actions against the gay community. Gabbard had in the past worked for her father's anti-gay organisation that fought against gay rights in Hawaii and opposed same-sex marriages. Gabbard, a member of the Democratic Party, recently announced that she will run for President in 2020.",18 Jan,Rahel Philipose
India 1st away team to win bilateral series in all formats in Aus,"India defeated Australia in the third ODI today to clinch the three-match series 2-1. With this, India became the first visiting side to win a bilateral series (two or more matches) in all three formats in Australia. India registered their first Test series win in Australia earlier this month, while they won a T20I series on Australian soil in 2016. ",18 Jan,Anmol Sharma
"Mechanical watch concept with no minute, second hands unveiled","Swiss watchmaker H. Moser & Cie, known for trolling Apple, has unveiled a mechanical watch concept that looks similar to Apple Watch and has no minute or second hands. To know the time, the user needs to sound a minute repeater, whose chimes tell the time. ""It's not a time-wasting 'smart' device displaying notifications,"" the company said.",18 Jan,Anmol Sharma
Tension free reh: Diljit to Kylie as egg pic breaks her Insta record,"After a picture of an egg became the most liked photo on Instagram by beating Kylie Jenner's picture of her daughter Stormi, singer Diljit Dosanjh shared a video of him frying an egg. ""Tension free reh tu (remain tension free),"" Dosanjh captioned the video. Earlier, Kylie had shared a video showing her cracking an egg on a road.",18 Jan,Pragya Swastik
Chahal records joint-best bowling figures in an ODI in Australia,"India's 28-year-old leg-spinner Yuzvendra Chahal recorded the joint-best bowling figures in an ODI in Australia, achieving the feat by registering figures of 10-0-42-6 in the third ODI against Australia in Melbourne today. Chahal equalled ex-India pacer Ajit Agarkar's record, who registered figures of 9.3-1-42-6 in 2004. Chahal's figures are also the best in an ODI by a spinner in Australia. ",18 Jan,Pragya Swastik
"Bhuvneshwar releases ball from behind umpire, takes wicket next ball","India pacer Bhuvneshwar Kumar released the last delivery of the ninth over of Australia's innings in the third ODI from behind the umpire, resulting in opener Aaron Finch pulling out. Umpire Michael Gough declared it dead-ball as the batsman pulled out despite the ball being legal. The 28-year-old went on to dismiss Finch LBW for 14(24) off the next ball.",18 Jan,Ankush Verma
Why can’t govt take important decisions in first 2 years: Shiv Sena,"Shiv Sena, in its mouthpiece Saamana, said, ""The season of announcements starts ahead of the polls. Why can't the government of any party take such important decisions in the first or second year of coming to power?"" Sena said the Union and state governments are making several announcements before the Model Code of Conduct is in force.",18 Jan,Ankush Verma
BJP youth wing leader changes his surname to 'Bharatiya',"Bharatiya Janata Yuva Morcha Mumbai President Mohit Kamboj on Thursday said he has changed his surname to ""Bharatiya"" to unite people under a common national identity of ""Bharatiyata"". The BJP youth wing leader further said the name change has been effected in the official gazette as well. He added that ""Proud Bharatiya"" Foundation has been established for unity among people.",18 Jan,Anmol Sharma
TN woman who was transfused with HIV-infected blood gives birth,"Weeks after a pregnant woman in Tamil Nadu was negligently transfused with HIV positive blood, the 23-year-old gave birth to a girl on Thursday. While no birth defects were immediately observed, an HIV screening would be conducted in 45 days to ascertain whether the baby contracted the infection. Doctors said HIV can be contracted in the womb or during delivery.",18 Jan,Anmol Sharma
US discusses potential missile defence cooperation with India,"The US has discussed potential missile defence cooperation with India, the US said in its '2019 Missile Defence Review' (MDR). ""This is a natural outgrowth of India's status as a Major Defence Partner and key element of our Indo-Pacific Strategy,"" the MDR added. Russia, China, Iran and North Korea were described as ""current and emerging missile threats"" to the US.",18 Jan,Anmol Sharma
At least 51 women under 50 have entered Sabarimala: Kerala govt,"At least 51 women under the age of 50 have entered the Sabarimala temple since the Supreme Court's verdict allowing women of all ages to enter the temple. ""Over 7,000 women in the age group of 10-50 years had registered online to enter Sabarimala...of them, 51 women have already entered the temple...and scanned their tickets,"" the Kerala government stated.",18 Jan,Anmol Sharma
"I was asked for ₹20k bribe: Man alleges in video, commits suicide","A man is suspected to have committed suicide in Odisha's Khordha after he recorded a video alleging he failed to get a house under rural housing scheme after he wasn't able to pay ₹15,000-₹20,000 as bribe. ""From where can I arrange the money? I work as labourer,"" the man  said in the video. His body was recovered near a canal.",18 Jan,Arshiya Chopra
Give security to 2 women who entered Sabarimala: SC to Kerala govt,"The Supreme Court on Friday directed the Kerala government to provide round-the-clock security to two women, Bindu and Kanakadurga, who entered the Sabarimala temple on January 2. This comes after the two women sought protection, stating they were facing a threat to their lives. Kanakadurga is hospitalised after she was allegedly assaulted by her mother-in-law for entering the temple.",18 Jan,Arshiya Chopra
 'McJesus' sculpture at Israel museum to be removed after protests,"An Israeli museum plans to withdraw a sculpture, entitled 'McJesus', depicting the McDonald's mascot as the crucified Jesus following protests. The life-sized sculpture showing the Ronald McDonald clown on a cross has been at the centre of an exhibition about consumerism and religion. ""I object to this disgraceful sculpture...I take deep offence to this depiction,"" a Christian woman said.",18 Jan,Trivedi Bhutnath
We may drop criminal charges against Goldman for $7.5 bn: Malaysia,"Malaysia on Friday said that criminal charges filed against Goldman Sachs for its role in the 1MDB scandal could be dropped if the bank pays $7.5 billion. ""An apology is just not sufficient. Not enough. There must be the necessary reparations and compensations,"" Malaysia said. Goldman helped the sovereign wealth fund raise about $6.5 billion, most of which was stolen.",18 Jan,Trivedi Bhutnath
We compete with and lose to Fortnite more than HBO: Netflix,"Streaming giant Netflix said in a letter to shareholders that it competes with and loses to battle royale game Fortnite more than HBO. ""There are thousands of competitors in this highly fragmented market vying to entertain consumers,"" it said. ""When YouTube went down globally for a few minutes in October, our viewing and signups spiked for that time,"" added Netflix.",18 Jan,Gaurav Shroff
Would prefer crazier characters than hero with abs: Siddhanth,"Shraddha Kapoor's brother and actor Siddhanth Kapoor, who has done films like 'Shootout At Wadala' and 'Ugly', has said, ""I'd rather play twisted, crazier characters than a plain Bollywood hero with abs."" ""I'm always looking for a lot of rawness in the characters I choose to play. They need to have a layered personality and a good backstory,"" added Siddhanth. ",18 Jan,Gaurav Shroff
Sonakshi Sinha to star with Varun Sharma in a film: Reports,"Sonakshi Sinha and Varun Sharma will be collaborating for a film which will also star Annu Kapoor, as per reports. The film will be directed by debutante Shilpi Dasgupta and has been written by Gautam Mehra, reports suggested. Talking about her character in the film, Sonakshi said, ""[I play] a small town girl and face the hilarious...challenges thrown at her.""",18 Jan,Nandini Sinha
"Opinion is like an a**hole, everyone has it: Sonu Nigam","Sonu Nigam has said he cannot be dishonest about his opinions, adding, ""Opinion is like an a**hole, everyone has it."" He added, ""The fact is honest opinion stinks, but that doesn't stop me from saying it, why should I say something dishonest?"" Sonu further said that he reacts whenever he is asked about anything that's happening around him in society.  ",18 Jan,Nandini Sinha
Wish I had done homework on B'wood before entering: Arshad,"Arshad Warsi, who made Bollywood debut in 1996 with 'Tere Mere Sapne', said, ""I wish I had studied and learnt about the Hindi film industry before entering it."" ""During the course of my life, I understood...acting's a very tiny part of the job. It's the whole other thing that takes your career wherever you want it to go,"" he added.",18 Jan,Arshiya Chopra
'Makkhi' actor Sudeep to play villain in 'Dabangg 3': Report,"'Makkhi' actor Sudeep will be playing the role of the villain in Salman Khan's 'Dabangg 3', as per reports. While actor Sonu Sood played the antagonist in 'Dabangg', Prakash Raj was the villain in 'Dabangg 2'. Earlier, there were reports that Saqib Saleem, who had starred in Salman's 'Race 3', will play the antagonist in the film.  ",18 Jan,Arshiya Chopra
Federer wins his 100th match at Aus Open's Rod Laver Arena,"Six-time Australian Open champion Roger Federer registered a straight-set win in his 100th appearance at Australian Open's Rod Laver Arena. Federer has now entered the fourth round of the Australian Open. The 37-year-old is set to face the 14th seed Stefanos Tsitsipas. Federer, who is the defending champion, is chasing a record seventh Australian Open title in Melbourne.",18 Jan,Arshiya Chopra
OYO issued tax notices for inaccurate FY17 filings: Report,Gurugram-based hotel startup OYO's parent Oravel Stays has reportedly been issued notices by the Income Tax Department over filing inaccurate income details for financial year 2016-17. The report said the case is linked to non-deduction of TDS (Tax Deducted at Source) on payments made by the company. OYO had also reported losses exceeding ₹400 crore in its returns for FY17.,18 Jan,Arshiya Chopra
'World's oldest' surviving periodic table found in Scotland,"Experts have dated a periodic table chart found in Scotland's University of St Andrews as being printed between 1879 and 1886, believed to be the oldest surviving periodic table. The chart was found at the University's School of Chemistry in 2014. It contains elements gallium and scandium, discovered in 1875 and 1879 respectively, while germanium, discovered in 1886, is missing.",18 Jan,Arshiya Chopra
We want Ram Temple to be constructed by 2025: RSS,"Rashtriya Swayamsevak Sangh (RSS) General Secretary Suresh Bhaiyaji Joshi on Friday said that RSS wants Ram Temple to be constructed by 2025. ""If the construction begins today then it (Ram Mandir) will be completed in five years,"" he added. He further said that the country will develop rapidly for at least 150 years after the temple is built.",18 Jan,Arshiya Chopra
Grenade attack in Srinagar in second such incident in 24 hrs,"A grenade attack took place at Ghanta Ghar in Srinagar's Lal Chowk on Friday. The grenade attack by suspected militants happened near the Central Reserve Police Force (CRPF) deployment, as per reports. On Thursday, three policemen were injured after terrorists hurled grenade on security forces at Zero Bridge in Srinagar's Rajbagh. 
",18 Jan,Ankush Verma
Twitter reacts to armed guard taking doughnuts to Downing Street,"Reacting to an armed guard taking doughnuts to Downing Street which houses UK PM's residence, a user tweeted, ""Surely doughnuts should always be given this much protection."" Others wrote, ""This is a vision of post #Brexit future. If you want a (Krispy) Kreme you need to fight with guns,"" and ""(H)ow it feels to walk past your sibling with snacks"".
",18 Jan,Ankush Verma
Misinformation: CBFC after Alia tweets to lift ban on mom's film,"The Central Board of Film Certification (CBFC) has denied imposing a ban on Alia Bhatt's mother Soni Razdan's film 'No Fathers in Kashmir'. It is ""unfortunate"" that ""unwarranted pressure"" is being put by spreading ""misinformation of a ban"", CBFC said. Earlier Alia had tweeted saying the movie is about empathy and compassion, and CBFC should lift the ""ban"" on it.",18 Jan,Trivedi Bhutnath
US rapper Snoop Dogg invests in Swedish online payments company,"US rapper Snoop Dogg has invested in Swedish online payments startup Klarna, which was last valued at $2.5 billion. Klarna, known for its ""Smoooth Payments"" slogan, has dubbed the 47-year-old artist as ""Smoooth Dogg"" as part of an ad campaign. Snoop Dogg's venture firm Casa Verde Capital has previously invested mainly in cannabis industry companies.",18 Jan,Trivedi Bhutnath
Pakistan in extended hangover of Champions Trophy win: Rashid Latif,"Former Pakistan captain Rashid Latif has slammed the selectors and team management for their ""extended Champions Trophy hangover"" and ""inappropriate preparation"" as reasons for their downfall in Test cricket. ""Everybody was under the influence of the historic feat longer than required,"" he added. After the Champions Trophy 2017, Pakistan played 13 Test matches, losing eight and winning four.",18 Jan,Krishna Veera Vanamali
Ex-players willing to work in toilets if PCB employs: Ex-Pak pacer,"Ex-pacer Tanvir Ahmed has said some of the former Pakistani cricketers are so desperate for employment opportunities in Pakistan Cricket Board (PCB) that they would be willing to work even in toilets if the board employs them. ""It's my personal opinion what is wrong with that,"" he added. Ahmed had recently accused Inzamam-ul-Haq of nepotism and favouritism in team selection.",18 Jan,Krishna Veera Vanamali
I want India to be a superpower in Test cricket: Virat Kohli,"Team India captain Virat Kohli has said that he wants India to become a superpower in Test cricket. ""If we solely focus [on shorter formats] and look at them as an escape...to not be in the kind of situations that Test cricket presents to you, then there'll start being a mental problem with the cricketers coming up,"" he added. ",18 Jan,Anmol Sharma
"Kerala beat Gujarat, qualify for Ranji semis for 1st time ever",Kerala defeated Gujarat by 113 runs on Thursday to qualify for the Ranji Trophy semi-finals for the first time in their 61-year history. Gujarat failed to chase down the 195-run target as they were dismissed for 81 runs in the second innings. Kerala fast bowler Basil Thampi emerged as the Man of the Match with eight wickets in the match.,17 Jan,Anmol Sharma
Pic shows Bill Gates waiting in line to buy food at a restaurant,"A picture shared by a former Microsoft employee shows the company's Co-founder and the world's second richest person, Bill Gates, waiting in line to buy food at a fast-food restaurant in the US. ""When you're worth about $100,000,000,000...and stand in line for a burger, fries and coke at Dick's like the rest of us,"" the former employee captioned the picture.",18 Jan,Anmol Sharma
100-metre-wide rotating ice disk surfaces in US river,"Residents of the US city of Westbrook, Maine are witnessing an ice disk phenomenon measuring about 100 metres across in the freezing Presumpscot River. When water in the eddy flows more slowly than the main current, it's more likely to freeze, creating the disc. The discs spin as they melt and melting water spins as it sinks below, scientists said.",18 Jan,Anmol Sharma
"Delhi bride shot during wedding, returns from hospital for ceremony","A bride who was shot in the leg by an unknown person at her wedding in Delhi's Shakarpur area on Thursday returned from hospital for the ceremony. The shot was fired when the bridegroom was approaching the bride on the stage, following which the woman collapsed immediately. Police are yet to make an arrest in relation to the shooting incident.",18 Jan,Anmol Sharma
"Son of dismissed BSF jawan, who complained about food, found dead","Son of former BSF constable Tej Bahadur Yadav, who was dismissed from service after he had released a video last year on quality of food served to soldiers, was found dead. Police recovered the body of Tej Bahadur's 22-year-old son Rohit from his residence in Shanti Vihar of Haryana’s Rewari with a pistol in his hands.",18 Jan,Anmol Sharma
"Non-veg food, alcohol banned at events held at govt halls in Jaipur","Jaipur Municipal Corporation (JMC) has banned non-veg food, alcohol and hookah in events held at government community halls in the city. People interested in booking the halls for their events will have to sign an agreement adhering to the new terms, the JMC said. It cited ""hygiene"" and ""sentiments of the local residents"" as the reasons for the ban. ",18 Jan,Anmol Sharma
Uttar Pradesh PAC plans to award policemen with big moustache,"Uttar Pradesh Provincial Armed Constabulary (PAC) authorities have planned to award personnel who sport big and twirly moustaches. Additional Director General (ADG) PAC, Binod Kumar Singh said the personnel's allowance for maintaining a moustache will be increased from ₹50 to ₹250 a month. He added that moustache boost's one’s personality and increases the confidence of a policeman.",18 Jan,Anmol Sharma
"3 dead, 7 trapped as avalanche hits Khardung La pass in J&K","Three people were killed and 7 others were trapped after an avalanche hit Khardung La pass in J&K's Ladakh on Friday. Rescue operations are underway and reports said some vehicles are also trapped. The meteorological department had on Thursday issued an avalanche warning for nine districts of the state, which has been witnessing heavy snowfall in the past few days.",18 Jan,Pragya Swastik
US hotel employee forced to work on Sundays awarded ₹150 crore,"A US hotel dishwasher, whose employer failed to honour her religious beliefs by repeatedly scheduling her to work on Sundays and eventually firing her, has been awarded $21.5 million (over ₹150 crore). When she was hired in 2006, Jean Marie Pierre had told she would not work on Sundays because she was a missionary for the Soldiers of Christ Church.",18 Jan,Pragya Swastik
I had no idea: Woman on painkiller packet in her throat for 17 days,"A UK woman, who lived with a plastic pill packet in her throat for 17 days, said that ""she had no idea"". The patient who has not been named, swallowed the packet of painkiller in the middle of the night last November. She made four separate hospital visits over a three week period before doctors found the packet.",18 Jan,Gaurav Shroff
He turned me into a drug smuggler: Mexican drug lord's ex-lover,Mexican drug lord Joaquin 'El Chapo' Guzman's ex-lover Lucero Sanchez while testifying against him at a US court revealed that he drew her into marijuana trafficking and didn't pay her for her work. Sanchez said she met Guzman when she was 21 years old. Guzman has pleaded not guilty to charges of international drug trafficking and conspiracy to murder rivals.,18 Jan,Gaurav Shroff
97-year-old UK Prince Philip escapes unhurt from car crash,"Britain's Prince Philip, husband of Queen Elizabeth II, has emerged unhurt after a car crash in which the 97-year-old's Land Rover flipped onto its side. A palace spokeswoman later confirmed that Prince Philip was at the wheel. Notably, there is no legal age in Britain to stop driving, but after 70 
people must renew their license every three years.",18 Jan,Ankush Verma
Not true: Rohit Shetty on Katrina starring in 'Sooryavanshi',"Denying the reports that Katrina Kaif will star opposite Akshay Kumar in his film 'Sooryavanshi', Rohit Shetty said, ""It's not true. We are still working on the script."" Akshay will reportedly be seen playing an Anti-Terrorism Squad (ATS) officer in the film. Earlier reports had suggested that actress Pooja Hegde would feature in the film as the female lead character.",18 Jan,Ankush Verma
"Justin, Hailey to have second wedding on March 1: Reports","Canadian pop singer Justin Bieber and American model Hailey Bieber will have a second wedding on the singer's 25th birthday on March 1, as per reports. The ""Save the Date"" emails have reportedly been sent to their family members and close friends. Kylie Jenner and Travis Scott are amongst the celebrities who have received the wedding invitation, according to reports.",18 Jan,Trivedi Bhutnath
I wish to play Bhansali's heroine opposite Salman: Ankita,"Ankita Lokhande, who'll be seen as 'Jhalkari Bai' in her debut film 'Manikarnika: The Queen of Jhansi', said, ""At least once, I wish to play Sanjay Leela Bhansali's heroine opposite Salman Khan."" ""I'd love to work with Bhansali as I admire his knowledge and his sense for cinema,"" she added. Ankita further said that ""content is the hero"" for her.",18 Jan,Trivedi Bhutnath
Emraan Hashmi starrer 'Why Cheat India' hits the theatres,"Emraan Hashmi's 'Why Cheat India', is ""not about hero-worshipping but focuses mainly on story and the content"", according to Times Now. ""The plot became too convenient, predictable and lost track after the interval,"" wrote Pinkvilla, while Hindustan Times said, ""The film tries to appear funny without being smart."" It has been rated 3/5 [Times Now], 2.5/5 [Pinkvilla] and 1.5/5 [HT].   ",18 Jan,Pragya Swastik
Kangana gets Shakti temple built in Himachal Pradesh: Report,"Actress Kangana Ranaut recently got a Shakti temple built in her hometown Himachal Pradesh, as per reports. It reportedly took three years to build the temple. The actress visited the temple to seek blessings, ahead of the release of her upcoming film 'Manikarnika: The Queen of Jhansi'. The film is scheduled to release on January 25.  ",18 Jan,Pragya Swastik
Former Facebook worker's AI startup Spell raises $15 million,"Former Facebook employee Serkan Piantino's artificial intelligence (AI) platform Spell has raised $15 million in its Series A round of funding. The funding round was led by investors Eclipse Ventures and Two Sigma Ventures. Founded in 2017 by Piantino along with Trey Lawrence, Spell is a collaborative platform which lets anyone run AI-based experiments.",18 Jan,Trivedi Bhutnath
Lord Ram was 1st north Indian to enter Maharashtra: BJP MP,"BJP MP Poonam Mahajan has said Lord Ram was the first north Indian to enter Maharashtra. She asserted that the relations between Maharashtra and north India are ""very old"". The daughter of the late BJP leader Pramod Mahajan and the National President of the BJP youth wing (BJYM), Poonam was addressing a gathering at the BJP's North Indian Morcha function.",17 Jan,Trivedi Bhutnath
Israel PM shares '10 Year Challenge' pic on US embassy move,"Israel PM Benjamin Netanyahu took part in the '10 Year Challenge', sharing a picture of the relocation of the US embassy from Tel Aviv to Jerusalem. The US became the first country in the world to recognise Jerusalem as Israel's capital after it moved its embassy to the city last year. Both Israel and Palestine claim Jerusalem as their capital.",18 Jan,Ankush Verma
US to begin withdrawal from nuclear treaty with Russia next month,The US will begin the process of the withdrawal from the Intermediate-Range Nuclear Forces (INF) Treaty on February 2. The US' announcement came after it rejected an offer to inspect a new Russian missile that it claims violates the Cold War-era treaty. The INF treaty required the elimination of both US' and Russia's land-based nuclear missiles from Europe.,18 Jan,Ankush Verma
"Hindustan Unilever's Q3 profit grows 8.9% to ₹1,444 crore","Consumer goods giant Hindustan Unilever's (HUL) December quarter profit rose 8.9% to ₹1,444 crore. The company, which makes Dove soaps and Cornetto ice cream, recorded sales of ₹9,357 crore during the quarter, a 12.4% increase from the year-ago period. Revenue from the company's home care segment, which includes brands like Surf Excel and Vim, rose 14.8% to ₹3,148 crore.",17 Jan,Ankush Verma
CBI No. 2 Asthana moved out days after removal of chief Alok Verma,"Days after Alok Verma was removed from his post of CBI Director, the Appointments Committee of the Cabinet has curtailed the tenure of the investigative agency's Special Director Rakesh Asthana. The tenure of three other CBI officers has also been cut short. Asthana is being moved to the Bureau of Civil Aviation Security, according to reports.",17 Jan,Arshiya Chopra
Uri makers troll film pirates with fake 3.8 GB video of the movie,"To check the illegal download of 'Uri: The Surgical Strike', its makers have uploaded a fake video of the film on Torrent. The 3.8 GB video file opens with the actors planning the surgical strike. However, Vicky Kaushal and Yami Gautam's characters later tell viewers to watch the movie in a theatre, saying they have infiltrated into the users' screens.",17 Jan,Arshiya Chopra
"Yuvraj tries trolling Parthiv over Instagram pic, gets trolled back","Punjab all-rounder Yuvraj Singh tried trolling Gujarat wicketkeeper-captain Parthiv Patel after the latter shared a picture of himself in Gujarat jersey ahead of Ranji quarter-finals. ""He's ready for some big shouts when batsman hasn't nicked it,"" Yuvraj commented. ""Can't wait..would have loved to shout when you are batting..oh wait Punjab didn't go through to knockouts..isn't it?"" replied Parthiv.",17 Jan,Gaurav Shroff
Simmering anger among CSK players led to IPL 2018 win: Srinivasan,"N Srinivasan has suggested that Chennai Super Kings was banned from IPL for two years due to ""jealousy"". ""No player made a mistake. The team didn't deserve the punishment they got,"" he added. ""The simmering anger among...players for being treated like this...brought about the victory [in 2018]. They were determined to prove again..that...'we are the best',"" he further said. ",17 Jan,Gaurav Shroff
Jaffer 1st Asian to slam 2 first-class double tons after turning 40,"Vidarbha batsman Wasim Jaffer has become the first ever Asian batsman to slam two first-class double hundreds after turning 40, achieving the feat against Uttarakhand in Ranji quarter-finals on Thursday. Jaffer, aged 40 years and 335 days, slammed 206(296). Jaffer had hit his first double hundred after turning 40 against Rest of India last year. ",17 Jan,Anmol Sharma
CBI arrests Sports Authority of India officials in corruption case,The CBI arrested six officials and private persons in connection with a case of alleged corruption in the Sports Authority of India (SAI) on Thursday. The arrests were made during searches at SAI's office in Delhi's Lodhi Road. Bills of ₹19 lakh were allegedly pending to be cleared by the officials for which a demand of 3% was being made. ,17 Jan,Anmol Sharma
"'10 Year Challenge' user-made meme, we've no involvement: Facebook","Responding to the viral '10 Year Challenge' inspired by Facebook's memories feature, the social media giant said, ""The challenge is a user-generated meme that started on its own...without our involvement."" ""It's evidence of the fun people have on Facebook...that's it,"" Facebook added. This comes after a report claimed that the challenge is a Facebook plot to collect facial recognition data.",17 Jan,Anmol Sharma
Quit BJP if you don't like it: Sushil Modi dares Shatrughan Sinha,"Hitting out at rebel BJP MP Shatrughan Sinha, Bihar Deputy CM Sushil Modi dared Sinha to quit the party ""if he doesn't like it"". Modi added the actor-turned-politician had ""fallen into the bad influence"" of former BJP leader Yashwant Sinha. ""Shatrughan is my icon but the kind of insults he has been using against BJP, he should quit,"" Modi stated.",17 Jan,Anmol Sharma
Doctors pump 5-litre beer to man's stomach to cure alcohol poisoning,"Doctors at a Vietnam hospital pumped almost five litres of beer into 48-year-old Nguyen Van Nhat's stomach to save him from dying of alcohol poisoning. Doctors decided to take the step after the methanol level in his blood was found 1,119 times higher than normal. Methanol in Nhat's body oxidised and turned into formic acid, making him unconscious, doctors said.",17 Jan,Anmol Sharma
ISRO shares satellite images of Triveni Sangam during Kumbh Mela,"The Indian Space Research Organisation has shared two satellite images of the Kumbh Mela 2019 which shows key areas of the festivities in Prayagraj (formerly Allahabad), including the Triveni Sangam. The images were taken by Cartosat-2 series remote sensing satellite on Wednesday. The 50-day festival began on January 15, with nearly 1.5 crore people taking the holy dip.",17 Jan,Anmol Sharma
Infosys Co-founder Narayana Murthy to get his own biopic: Reports,"Filmmaker Sanjay Tripathy is reportedly working on the script of Infosys Co-founder Narayana Murthy's biopic. Tripathy first approached the 72-year-old about eight months ago and after much deliberation, Murthy approved the project, according to reports. Murthy started Infosys in 1981 in Pune at the age of 35 with ₹10,000 borrowed from his wife Sudha. ",17 Jan,Anmol Sharma
